¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 2:57:44 PM"
Mujer,Más de 66 años,Otra provincia,La Pampa,,,Soy jubilada docente ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Que puede ocasionar mas expansion del virus,,"6/28/2020, 3:22:10 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa Fe ,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Trabajo en facultad ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Que se controle mas,,"6/28/2020, 4:25:26 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 4:30:55 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,"Realizo tejidos y huerta, esto con mi familia. Ahora no podemos porque el terreno está fuera de la Ciudad.",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Debemos seguir cuidandonos. Con los recaudos puede ser,,"6/28/2020, 5:16:59 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 5:24:50 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,Vivo en la Provincia fe Bs As,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,"Hise la primaria completa,estudie dactilografia,modista,y es a esto último a lo q me dedico.",Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Que solo se circule entre provincias y localidades fonde no circule el virus,y teniendo todos los cuidados necesarios ",,"6/28/2020, 5:58:12 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Neuquén,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Empleada administrativa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Negativo,,"6/28/2020, 6:28:46 PM"
Mujer,Entre 56 y 65 años,Otra provincia,STA fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No realizarlo ente provincias en riesgo ...BsAs ..Chaco...,,"6/28/2020, 6:56:24 PM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,El problema todavía está en Buenos Aires. Preservemos a las otras.,,"6/28/2020, 7:26:57 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Es pronto hay que esperar que baje la curva de contagios para dar ese paso y evitar la propagación del virus ,,"6/28/2020, 7:31:35 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,,Soy jubilada.,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,No se puede vivir aislados.,,"6/28/2020, 7:39:15 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Sólo si es necesario ,,"6/28/2020, 7:46:51 PM"
Mujer,Entre 56 y 65 años,Otra provincia,San Juan ,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Técnica en Soprano  ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 7:53:22 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy niñera,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No hay que circular entre provincias para no trasmitir el virus,,"6/28/2020, 8:21:10 PM"
Mujer,Entre 56 y 65 años,Otra provincia,SF,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Más trabajo que lo habitual,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Si entre provincias sin circulación del virus,,"6/28/2020, 9:09:46 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Docente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Hay que reactivar la economía,,"6/28/2020, 9:17:00 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Tucuman,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Por el momento , no.",,"6/28/2020, 9:22:13 PM"
Mujer,Más de 66 años,Otra provincia,La Pampa,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Soy jubilada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Con controles y cuidados deben dejar circular pues las consecuencias que vendran son peores,,"6/28/2020, 9:26:59 PM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,soy jubilada docente ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"con recaudos se debe permitir la circulación más si nos dicen que el interior tiene muy pocos casos, limitar las pcias complicadas ",,"6/28/2020, 9:42:33 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con mucho control.mucho control,,"6/28/2020, 9:47:11 PM"
Mujer,Más de 66 años,Otra provincia,San Luis ,La cuarentena sigue siendo algo necesaria,,Jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Debería hacerse con cuidado y entre algunas provincia. No con AMBA,,"6/28/2020, 10:29:58 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Si la gente puede ir a tomar aire puro y sol al verano del norte, es porque también puede ir a cualquier lado, el encierro es un fraude, la ENFERMEDAD es un fraude, los infectados no existen y nunca ,de eso , murió gente. YA TERMINENLA CON ÉSTE FRAUDE, PORQUE NO DA PARA MÁS!!! NO PUEDEN SEGUIR MINTIENDO!!!!!",,"6/28/2020, 10:50:55 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:01:09 PM"
Mujer,Entre 36 y 45 años,Otra provincia,Mendoza,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Independiente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,El problema de contagios esta exactamente ahi. Ademas hay que seguir con mucha higiene ,,"6/28/2020, 11:46:56 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Esta bien. No pueden cerrar todo...por mucho tiempo. Muchos son esenciales...Y los q quedamos adentro...de eso vivimos..lo q no es necesario...Son algunas industrias q se abrieron en en la zona de Villa Lynch. Partido de San Martín.. provincia buenos aires. Ellos saben donde esta el foco...De q habla el gobernador...municipalidad de San Martín. ...Son cómplices. ....No tenes donde denunciar.. Una VERGÜENZA... Van a pagar el daño q se hace a los q trabajan...Y a los vecinos...alguien...tendrá conciencia.. NOOOOO,,"6/28/2020, 11:55:19 PM"
Mujer,Más de 66 años,Otra provincia,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilada ..,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es necesaria xq al tener familia y amigos angustiados x no poder vernos ..Normalidad es imprescindible..,,"6/29/2020, 12:13:41 AM"
Mujer,Más de 66 años,Otra provincia,Santa Fe,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial","Soy jubilada y hago cobranzas, recién en mayo pude volver a salir",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"En nuestro pueblo no hubo ni un solo caso, no queremos entradas de otros lugares, pueblo cerrado, nos cuidamos",,"6/29/2020, 12:39:25 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 2:28:25 AM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",Negocio,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Esta bien,,"6/29/2020, 7:35:34 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy jubilada. No salgo para nada. Hago muchas cosas en casa.,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Hay que ejercer PRUDENCIA.,,"6/29/2020, 7:43:15 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy jubilada ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Pienso que la circulación es lo que hace que el virus también siga circulando ,,"6/29/2020, 8:20:09 AM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:53:08 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:55:49 AM"
