,genero,edad,ubicacion,ubicacion_otra,opinion,actividades,actividades_open,circulacion,circulacion_open,id_encuestado,fecha,ubicacion_tot
0,Mujer,Entre 18 y 25 años,Otra provincia,San Juan,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 3:10:19 PM",San Juan
1,Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Bien muy bien,,"6/28/2020, 3:24:59 PM",Provincia de Buenos Aires
2,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,Provincia de Buenos Aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",trabajo en repostería en mi casa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,no se tendría que circular circulación solo para trabajo esencial ,,"6/28/2020, 4:25:44 PM",Provincia de Buenos Aires
3,Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 6:47:16 PM",Ciudad Autónoma de Buenos Aires
4,Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,soy jubilada docente ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"si son provincias libres de COVID 19 no habría inconveniente en la circulación teniendo en cuenta todos los protocolos y cumplirlos estrictamente con todos, sin excepción  ",,"6/28/2020, 6:48:26 PM",Provincia de Buenos Aires
5,Mujer,Entre 26 y 35 años,Otra provincia,Santa Fe,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",Mí estudios fueron más difíciles y menos ingreso en mí trabajo.,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Me parece que con debidas precauciones se puede sircula tranquilamente.,,"6/28/2020, 8:10:31 PM",Santa Fe
6,Mujer,Entre 26 y 35 años,Otra provincia,Córdoba,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:30:41 PM",Córdoba
7,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy estudiante y me quedé sin trabajo porque trabajo con niños,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Que es muy pronto,,"6/28/2020, 9:59:43 PM",Provincia de Buenos Aires
8,Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:21:31 PM",Provincia de Buenos Aires
9,Mujer,Entre 18 y 25 años,Otra provincia,Salta,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",....,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"No puede haber circulación, si no va aver más casos.",,"6/28/2020, 10:26:02 PM",Salta
10,Mujer,Entre 18 y 25 años,Otra provincia,La Rioja,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Soy docente en nivel primario en zona rural. Se complica con el tema de las clases online porque en el lugar que está ubicada la escuela no hay internet ni señal de celular. Yo realizó cuadernillos con actividades y  se los entrego a mis alumnos ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Depende de las provincias que sean. Si no hay casos de covid me parece que si se puede hacer. En caso de que hayan casos que no se lo haga.,,"6/28/2020, 10:38:16 PM",La Rioja
11,Mujer,Entre 26 y 35 años,Otra provincia,Santa Fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:42:30 PM",Santa Fe
12,Mujer,Entre 18 y 25 años,Otra provincia,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:50:10 PM",Otra provincia
13,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Estoy buscando trabajo..,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:51:26 PM",Provincia de Buenos Aires
14,Mujer,Menor de 18 años,Otra provincia,Corrientes,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:57:23 PM",Corrientes
15,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Estudiante ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:04:16 PM",Provincia de Buenos Aires
16,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:14:59 AM",Provincia de Buenos Aires
17,Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Nada pienso se tiene que hacer las cosas como se debe ser,,"6/29/2020, 12:37:18 AM",Provincia de Buenos Aires
18,Hombre,Entre 18 y 25 años,Otra provincia,Córdoba,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:05:34 AM",Córdoba
19,Mujer,Entre 18 y 25 años,Otra provincia,Santa Cruz,La cuarentena sigue siendo muy necesaria,,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Pienso que por el momento de los contagios que ahi no deberian habilitar viajes en avion ni micros ni permitir salidas hasta que baje el pico de muertes y contagios ,,"6/29/2020, 5:31:38 AM",Santa Cruz
20,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online","Soy secretaria de un abogado que cobra deudas. Es un trabajo horrible y más en esta época. Lo estamos haciendo de forma remota, enviando las boletas de pago por mail. En cuanto al estudio, estoy cursando virtual las ""practicas de enseñanza y residencia docente""... Unas prácticas muy raras. ",Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Me parece muy bien que se permita la circulación. Con los controles pertinentes y certificados médicos que aseguren que la persona que va a viajar no de encuentra infectada, me parece que está muy bien. Si yo tuviera la posibilidad de irme a otra provincia, creo que no me la deberían negar porque así como se está tratando de evitar que personas infectadas salgan del AMBA también se está negando la posibilidad de que personas sanas se alejen del epicentro de contagios. ",,"6/29/2020, 8:39:19 AM",Provincia de Buenos Aires
21,Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 9:48:57 AM",Provincia de Buenos Aires
