¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 18 y 25 años,Otra provincia,San juan,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 3:10:19 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Bien muy bien,,"6/28/2020, 3:24:59 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,zarate,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",trabajo en repostería en mi casa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,no se tendría que circular circulación solo para trabajo esencial ,,"6/28/2020, 4:25:44 PM"
Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 6:47:16 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,soy jubilada docente ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"si son provincias libres de COVID 19 no habría inconveniente en la circulación teniendo en cuenta todos los protocolos y cumplirlos estrictamente con todos, sin excepción  ",,"6/28/2020, 6:48:26 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Santa Fe,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",Mí estudios fueron más difíciles y menos ingreso en mí trabajo.,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Me parece que con debidas precauciones se puede sircula tranquilamente.,,"6/28/2020, 8:10:31 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Cordoba,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 8:30:41 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy estudiante y me quedé sin trabajo porque trabajo con niños,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Que es muy pronto,,"6/28/2020, 9:59:43 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:21:31 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Salta,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",....,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"No puede haber circulación, si no va aver más casos.",,"6/28/2020, 10:26:02 PM"
